Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
13600	-1556.728	-1528.787	-27.94128	799857.9	11.73143	0.998579	0.999637	1.00036	1.00142	6.771731
13700	-1564.542	-1539.758	-24.78323	982916	13.32789	0.998718	0.999672	1.00033	1.00128	6.513384
13800	-1563.081	-1534.514	-28.56645	923563.4	11.09205	0.998678	0.999662	1.00034	1.00132	6.800499
13900	-1570.013	-1543.194	-26.81964	625367.6	12.15715	0.998393	0.999589	1.00041	1.00161	6.68456
14000	-1575.824	-1533.553	-42.27098	614682.5	11.08045	0.998379	0.999585	1.00041	1.00162	8.036622
14100	-1558.852	-1536.12	-22.73186	378885.7	11.89581	0.997936	0.999472	1.00053	1.00207	6.336898
14200	-1558.146	-1532.75	-25.39549	496897.3	10.94784	0.998197	0.999539	1.00046	1.0018	6.501467
14300	-1591.028	-1543.272	-47.75612	467824.5	9.348033	0.998142	0.999525	1.00047	1.00186	8.603909
14400	-1580.937	-1547.932	-33.00474	725987.9	9.498337	0.998509	0.999619	1.00038	1.00149	7.054288
14500	-1569.597	-1535.234	-34.36298	673852.2	10.44038	0.998452	0.999604	1.0004	1.00155	7.299714
14600	-1576.292	-1551.979	-24.31343	654672.5	13.65207	0.998429	0.999598	1.0004	1.00157	6.469186
14700	-1570.067	-1530.018	-40.04834	562485	13.4976	0.998306	0.999567	1.00043	1.0017	7.639606
14800	-1572.463	-1544.33	-28.13315	226357.9	11.77241	0.99733	0.999316	1.00068	1.00267	6.788938
14900	-1546.435	-1523.493	-22.94189	110645.1	14.86727	0.996181	0.999021	1.00097	1.00382	6.319332
15000	-1577.441	-1543.191	-34.24944	161399	12.11221	0.996838	0.99919	1.00081	1.00317	7.297528
15100	-1569.181	-1541.879	-27.30206	808490.3	13.54968	0.998587	0.999639	1.00036	1.00141	6.692924
15200	-1583.848	-1555.843	-28.00505	360187.8	12.5464	0.997883	0.999458	1.00054	1.00212	6.778968
15300	-1582.438	-1543.845	-38.59258	627148.5	10.67303	0.998395	0.99959	1.00041	1.00161	7.708044
15400	-1569.243	-1537.076	-32.16655	325651.7	12.81354	0.997773	0.99943	1.00057	1.00223	7.098004
15500	-1585.447	-1553.3	-32.147	648576.3	11.85796	0.998422	0.999596	1.0004	1.00158	7.128913
15600	-1564.891	-1529.367	-35.52393	496837.8	10.70075	0.998197	0.999539	1.00046	1.0018	7.421392
15700	-1583.677	-1542.501	-41.17567	140166.8	9.090891	0.996607	0.999131	1.00087	1.0034	7.868282
15800	-1565.402	-1539.996	-25.40592	590958.1	12.66767	0.998347	0.999577	1.00042	1.00165	6.571524
15900	-1601.349	-1561.939	-39.41022	90059.59	9.548279	0.995768	0.998915	1.00108	1.00424	7.73388
16000	-1559.87	-1530.194	-29.67595	528918.7	9.339121	0.998253	0.999553	1.00045	1.00175	6.667668
16100	-1573.693	-1542.082	-31.61162	585946.4	11.19331	0.99834	0.999575	1.00042	1.00166	7.078232
16200	-1576.774	-1534.052	-42.72204	753619.2	8.757521	0.998536	0.999626	1.00037	1.00146	7.989377
