Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
12500	-1574.818	-1550.13	-24.68767	869690.4	14.10084	0.998637	0.999652	1.00035	1.00136	6.478438
12600	-1582.235	-1553.798	-28.43669	489384.2	13.40643	0.998184	0.999535	1.00046	1.00182	6.783822
12700	-1591.113	-1554.213	-36.89992	754832.8	10.51224	0.998537	0.999626	1.00037	1.00146	7.545242
12800	-1594.569	-1564.767	-29.80175	269748.6	13.58363	0.997554	0.999374	1.00062	1.00245	6.875377
12900	-1569.554	-1545.281	-24.27277	539580.1	11.7085	0.99827	0.999557	1.00044	1.00173	6.45786
13000	-1586.178	-1556.93	-29.24811	753155	11.90809	0.998536	0.999626	1.00037	1.00147	6.884733
13100	-1575.605	-1549.988	-25.6178	976820.9	11.68229	0.998714	0.999671	1.00033	1.00129	6.571626
13200	-1593.056	-1564.249	-28.80683	442984.4	10.92425	0.998091	0.999512	1.00049	1.00191	6.811426
13300	-1578.291	-1545.925	-32.36598	104219.8	12.65317	0.996065	0.998992	1.001	1.00394	7.121655
13400	-1571.27	-1542.012	-29.25774	127736.1	12.60028	0.996446	0.999089	1.00091	1.00356	6.877451
13500	-1585.115	-1552.005	-33.10993	242341.9	10.60114	0.997419	0.999339	1.00066	1.00258	7.190305
13600	-1582.076	-1557.52	-24.55585	810829	13.59187	0.998589	0.999639	1.00036	1.00141	6.488922
13700	-1590.548	-1562.704	-27.84406	824779.6	13.23849	0.998601	0.999642	1.00036	1.0014	6.746713
13800	-1584.272	-1554.528	-29.74327	546425	14.48618	0.998281	0.99956	1.00044	1.00172	6.80798
13900	-1567.228	-1539.505	-27.72278	872743	12.27833	0.99864	0.999652	1.00035	1.00136	6.758832
14000	-1577.64	-1546.12	-31.51994	729199.7	12.4482	0.998512	0.999619	1.00038	1.00149	7.06273
14100	-1584.264	-1552.039	-32.22444	448104.8	13.18197	0.998102	0.999514	1.00048	1.0019	7.08121
14200	-1582.444	-1549.401	-33.0428	209061.1	10.84664	0.997221	0.999289	1.00071	1.00278	7.196255
14300	-1562.88	-1537.689	-25.19137	471276.8	10.52032	0.998149	0.999526	1.00047	1.00185	6.432556
14400	-1581.65	-1549.091	-32.55931	914590.3	10.7908	0.998671	0.99966	1.00034	1.00133	7.149066
14500	-1565.373	-1548.771	-16.60186	428785.3	14.73328	0.99806	0.999504	1.0005	1.00194	5.896071
14600	-1582.054	-1559.793	-22.26108	755632.3	12.13304	0.998538	0.999626	1.00037	1.00146	6.308619
14700	-1580.339	-1556.788	-23.5514	906576.7	14.30544	0.998665	0.999659	1.00034	1.00134	6.389087
14800	-1563.826	-1536.876	-26.94961	501674.1	13.18683	0.998206	0.999541	1.00046	1.0018	6.680895
14900	-1576.95	-1548.062	-28.88762	995999.5	13.58096	0.998727	0.999674	1.00033	1.00127	6.808228
15000	-1568.412	-1539.436	-28.97679	158972	11.92861	0.996814	0.999184	1.00081	1.00319	6.86207
15100	-1602.759	-1568.678	-34.08128	457309.5	10.95528	0.998121	0.999519	1.00048	1.00188	7.295027
15200	-1584.801	-1553.193	-31.6071	151633.7	12.939	0.996738	0.999164	1.00083	1.00327	7.048011
15300	-1573.274	-1545.197	-28.07699	733434.4	12.76549	0.998516	0.999621	1.00038	1.00148	6.780096
15400	-1577.428	-1551.304	-26.1239	803397.2	11.83883	0.998582	0.999637	1.00036	1.00142	6.620404
15500	-1593.97	-1561.507	-32.46297	530465.9	12.33943	0.998255	0.999554	1.00045	1.00175	7.142719
15600	-1590.786	-1562.779	-28.00679	538612.1	12.51692	0.998269	0.999557	1.00044	1.00173	6.779569
15700	-1570.732	-1547.526	-23.20563	692497.2	13.38712	0.998473	0.999609	1.00039	1.00153	6.39399
15800	-1572.173	-1542.666	-29.50644	720613.9	12.12049	0.998503	0.999617	1.00038	1.0015	6.905878
15900	-1575.945	-1547.458	-28.48672	676891.8	10.88746	0.998455	0.999605	1.00039	1.00155	6.77938
16000	-1564.119	-1537.347	-26.77215	365815	12.08269	0.997899	0.999462	1.00054	1.0021	6.679837
16100	-1579.267	-1553.887	-25.37999	931204	10.53849	0.998683	0.999663	1.00034	1.00132	6.452936
16200	-1584.679	-1546.554	-38.12496	530101.6	12.12064	0.998255	0.999554	1.00045	1.00175	7.616938
16300	-1572.877	-1543.014	-29.86343	403666.6	11.83797	0.998	0.999488	1.00051	1.002	6.936272
16400	-1592.053	-1556.37	-35.68335	675849.1	9.647891	0.998454	0.999605	1.00039	1.00155	7.357113
16500	-1598.539	-1566.999	-31.53973	716202.8	12.44685	0.998498	0.999616	1.00038	1.0015	7.064366
16600	-1566.213	-1545.388	-20.82513	16285.2	12.12614	0.990057	0.997438	1.00253	1.00998	6.189917
16700	-1576.013	-1548.198	-27.81507	537186.2	12.23966	0.998266	0.999557	1.00044	1.00173	6.766452
16800	-1589.347	-1556.356	-32.99052	245516.3	10.52025	0.997436	0.999344	1.00065	1.00257	7.173892
16900	-1591.214	-1571.454	-19.75935	881110.1	13.32379	0.998646	0.999654	1.00035	1.00135	6.136426
17000	-1575.449	-1540.42	-35.02817	972156.2	10.80796	0.998711	0.99967	1.00033	1.00129	7.378324
17100	-1569.438	-1543.97	-25.46737	455961.3	11.72137	0.998118	0.999519	1.00048	1.00188	6.560433
17200	-1573.968	-1556.472	-17.49622	902934.1	15.75638	0.998663	0.999658	1.00034	1.00134	5.919177
17300	-1573.215	-1547.853	-25.36159	965031.9	15.8294	0.998706	0.999669	1.00033	1.00129	6.412661
17400	-1589.773	-1554.445	-35.32799	958014	10.9641	0.998702	0.999668	1.00033	1.0013	7.408945
17500	-1586.833	-1553.351	-33.48234	911882.9	12.30203	0.998669	0.99966	1.00034	1.00133	7.22693
17600	-1572.781	-1552.556	-20.22475	406395.5	12.50621	0.998007	0.99949	1.00051	1.00199	6.157474
17700	-1574.864	-1546.844	-28.02035	238791.5	14.65137	0.9974	0.999334	1.00066	1.0026	6.677154
17800	-1576.295	-1545.848	-30.44688	668442.8	11.77341	0.998446	0.999602	1.0004	1.00156	6.985479
17900	-1586.018	-1555.55	-30.46857	867551.1	10.85544	0.998636	0.999651	1.00035	1.00137	6.959472
18000	-1575.494	-1547.788	-27.70531	304388.9	11.91466	0.997697	0.999411	1.00059	1.0023	6.755274
18100	-1585.164	-1555.728	-29.43602	183746	12.21599	0.997036	0.999241	1.00076	1.00297	6.899172
18200	-1601.069	-1564.473	-36.59648	891677.5	10.39537	0.998654	0.999656	1.00034	1.00135	7.511715
18300	-1563.819	-1540.532	-23.2862	633728.2	11.04036	0.998404	0.999592	1.00041	1.0016	6.319045
18400	-1577.877	-1552.161	-25.71638	757129.5	10.561	0.99854	0.999627	1.00037	1.00146	6.487782
18500	-1581.588	-1550.134	-31.4539	975402.8	10.26977	0.998713	0.999671	1.00033	1.00129	7.004669
18600	-1578.862	-1556.068	-22.79391	704349.2	13.1789	0.998486	0.999613	1.00039	1.00151	6.365826
18700	-1586.179	-1553.056	-33.12285	942060.9	13.09455	0.998691	0.999665	1.00033	1.00131	7.155237
18800	-1585.924	-1552.23	-33.69417	459610.7	11.34101	0.998126	0.99952	1.00048	1.00188	7.265325
18900	-1584.421	-1555.71	-28.71128	409479.1	12.28072	0.998014	0.999492	1.00051	1.00199	6.839317
19000	-1577.183	-1553.774	-23.40986	307442.8	12.15624	0.997708	0.999414	1.00058	1.00229	6.404056
19100	-1595.986	-1559.354	-36.63126	92738.68	9.750368	0.995829	0.998931	1.00106	1.00418	7.467012
19200	-1566.443	-1540.137	-26.30595	616313.1	11.92005	0.998381	0.999586	1.00041	1.00162	6.637958
19300	-1578.822	-1546.159	-32.66307	817855.5	11.5121	0.998595	0.999641	1.00036	1.00141	7.175367
19400	-1571.98	-1549.546	-22.43414	112621.4	14.67778	0.996215	0.99903	1.00096	1.00379	6.29462
19500	-1573.97	-1548.615	-25.35476	529221.4	12.34217	0.998253	0.999553	1.00045	1.00175	6.566689
19600	-1593.891	-1557.877	-36.01443	865353.4	10.53316	0.998634	0.999651	1.00035	1.00137	7.461836
19700	-1563.683	-1537.685	-25.99793	526680.5	12.70933	0.998249	0.999552	1.00045	1.00175	6.617868
19800	-1567.288	-1544.518	-22.77011	164207.5	12.46007	0.996865	0.999197	1.0008	1.00314	6.360083
19900	-1575.982	-1552.133	-23.84899	878911	14.65214	0.998644	0.999653	1.00035	1.00136	6.392405
20000	-1579.373	-1549.463	-29.91015	688312	12.63599	0.998468	0.999608	1.00039	1.00153	6.928118
20100	-1571.086	-1550.72	-20.36528	501910.5	12.54007	0.998206	0.999541	1.00046	1.00179	6.169841
20200	-1581.741	-1553.118	-28.62312	76418.88	13.56658	0.995406	0.998822	1.00117	1.0046	6.789523
20300	-1576.194	-1546.988	-29.20559	265773.1	10.82559	0.997535	0.999369	1.00063	1.00247	6.840926
20400	-1592.724	-1556.145	-36.57889	854184.4	10.24856	0.998625	0.999648	1.00035	1.00138	7.502502
20500	-1590.175	-1557.183	-32.99241	925570.8	11.72468	0.998679	0.999662	1.00034	1.00132	7.202384
20600	-1571.841	-1543.284	-28.55701	823123.4	11.08332	0.998599	0.999642	1.00036	1.0014	6.799123
20700	-1575.427	-1549.418	-26.00875	288935.1	15.32236	0.997636	0.999395	1.0006	1.00237	6.493118
20800	-1586.09	-1557.569	-28.5207	616510.1	11.34642	0.998382	0.999586	1.00041	1.00162	6.809383
20900	-1580.084	-1549.28	-30.80397	435866.5	12.31381	0.998075	0.999508	1.00049	1.00193	7.008922
21000	-1577.489	-1551.808	-25.68082	817351.8	11.2182	0.998594	0.999641	1.00036	1.00141	6.550237
21100	-1583.077	-1550.697	-32.37997	597567.2	14.75004	0.998356	0.99958	1.00042	1.00164	6.965395
21200	-1594.492	-1557.363	-37.12923	890769.5	11.91212	0.998654	0.999656	1.00034	1.00135	7.546357
21300	-1573.85	-1549.254	-24.59508	168716.1	12.97791	0.996907	0.999208	1.00079	1.0031	6.505642
21400	-1574.858	-1547.163	-27.69492	650992.5	13.52668	0.998425	0.999597	1.0004	1.00158	6.723012
21500	-1570.82	-1538.584	-32.23536	877315.5	13.7034	0.998643	0.999653	1.00035	1.00136	7.045582
21600	-1560.525	-1539.984	-20.54028	724695.2	12.65588	0.998507	0.999618	1.00038	1.00149	6.187122
21700	-1586.948	-1547.351	-39.59738	930998.6	11.44309	0.998683	0.999663	1.00034	1.00132	7.781166
21800	-1586.713	-1558.132	-28.58048	296045.9	14.02819	0.997665	0.999402	1.0006	1.00234	6.759225
21900	-1585.495	-1553.375	-32.11946	695658.7	14.50125	0.998476	0.99961	1.00039	1.00152	6.970653
22000	-1581.331	-1551.42	-29.91061	489792	12.35074	0.998184	0.999536	1.00046	1.00182	6.935643
22100	-1574.725	-1545.386	-29.33862	244879.2	11.26568	0.997433	0.999343	1.00065	1.00257	6.878339
22200	-1582.398	-1554.626	-27.7716	485443	11.79979	0.998176	0.999533	1.00047	1.00182	6.758814
22300	-1580.565	-1549.776	-30.7891	403833.1	13.18671	0.998	0.999488	1.00051	1.002	6.972063
22400	-1594.618	-1561.994	-32.62366	936371.9	14.33333	0.998687	0.999664	1.00034	1.00131	7.020765
22500	-1577.288	-1551.958	-25.33045	222726.1	13.66851	0.997308	0.999311	1.00069	1.00269	6.543054
22600	-1584.476	-1548.34	-36.13646	192833.3	9.579051	0.997107	0.999259	1.00074	1.0029	7.395182
22700	-1574.532	-1546.519	-28.01366	470404.8	13.09219	0.998147	0.999526	1.00047	1.00185	6.765146
22800	-1583.46	-1554.467	-28.99301	616516.6	10.79569	0.998382	0.999586	1.00041	1.00162	6.818959
22900	-1575.312	-1545.303	-30.00857	360026.8	10.34439	0.997882	0.999458	1.00054	1.00212	6.872466
23000	-1573.314	-1544.668	-28.64637	929778.4	14.29094	0.998682	0.999663	1.00034	1.00132	6.746258
23100	-1593.312	-1556.659	-36.65308	377816.9	11.09906	0.997933	0.999471	1.00053	1.00207	7.529503
23200	-1575.134	-1546.881	-28.25292	37409.99	10.64201	0.993436	0.998314	1.00167	1.00658	6.736257
23300	-1600.412	-1564.298	-36.11346	974526.4	10.41776	0.998713	0.999671	1.00033	1.00129	7.46633
23400	-1577.858	-1550.924	-26.93471	934703.5	11.48773	0.998686	0.999664	1.00034	1.00132	6.676682
23500	-1580.6	-1552.947	-27.65286	708087.5	12.62355	0.99849	0.999614	1.00039	1.00151	6.749694
23600	-1563.929	-1535.055	-28.87375	223269.2	12.02735	0.997311	0.999312	1.00069	1.00269	6.853784
23700	-1599.001	-1559.75	-39.25115	279082.3	9.803225	0.997595	0.999384	1.00061	1.00241	7.739798
23800	-1562.767	-1541.724	-21.04355	937531.4	12.11314	0.998688	0.999664	1.00034	1.00131	6.20728
23900	-1582.629	-1549.16	-33.46903	418188.7	12.5758	0.998035	0.999497	1.0005	1.00197	7.212956
24000	-1561.048	-1537.867	-23.18108	325536.4	12.15313	0.997773	0.99943	1.00057	1.00223	6.385132
24100	-1578.934	-1554.029	-24.90462	434609.5	13.25772	0.998073	0.999507	1.00049	1.00193	6.524227
24200	-1574.717	-1551.04	-23.67687	344347.6	11.20325	0.997835	0.999446	1.00055	1.00217	6.370255
24300	-1597.947	-1562.896	-35.0506	353629.9	11.42092	0.997863	0.999453	1.00055	1.00214	7.384116
24400	-1582.767	-1558.053	-24.71436	431790.2	15.96925	0.998066	0.999505	1.00049	1.00194	6.36104
